year,week,labor_hours
2017,1,5057910.0
2017,2,5057910.0
2017,3,5057910.0
2017,4,5057910.0
2017,5,5057910.0
2017,6,5057910.0
2017,7,5057910.0
2017,8,5057910.0
2017,9,5057910.0
2017,10,5057910.0
2017,11,5057910.0
2017,12,5057910.0
2017,13,5057910.0
2017,14,5057910.0
2017,15,5057910.0
2017,16,8092656.0
2017,17,8092656.0
2017,18,8092656.0
2017,19,8092656.0
2017,20,8092656.0
2017,21,8092656.0
2017,22,8092656.0
2017,23,5057910.0
2017,24,5057910.0
2017,25,5057910.0
2017,26,5057910.0
2017,27,5057910.0
2017,28,5057910.0
2017,29,5057910.0
2017,30,5057910.0
2017,31,5057910.0
2017,32,5057910.0
2017,33,5057910.0
2017,34,5057910.0
2017,35,10115820.0
2017,36,10115820.0
2017,37,10115820.0
2017,38,10115820.0
2017,39,10115820.0
2017,40,10115820.0
2017,41,10115820.0
2017,42,10115820.0
2017,43,10115820.0
2017,44,10115820.0
2017,45,5057910.0
2017,46,5057910.0
2017,47,5057910.0
2017,48,5057910.0
2017,49,5057910.0
2017,50,5057910.0
2017,51,5057910.0
2017,52,5057910.0
2022,1,4440420.0
2022,2,4440420.0
2022,3,4440420.0
2022,4,4440420.0
2022,5,4440420.0
2022,6,4440420.0
2022,7,4440420.0
2022,8,4440420.0
2022,9,4440420.0
2022,10,4440420.0
2022,11,4440420.0
2022,12,4440420.0
2022,13,4440420.0
2022,14,4440420.0
2022,15,4440420.0
2022,16,7104672.0
2022,17,7104672.0
2022,18,7104672.0
2022,19,7104672.0
2022,20,7104672.0
2022,21,7104672.0
2022,22,7104672.0
2022,23,4440420.0
2022,24,4440420.0
2022,25,4440420.0
2022,26,4440420.0
2022,27,4440420.0
2022,28,4440420.0
2022,29,4440420.0
2022,30,4440420.0
2022,31,4440420.0
2022,32,4440420.0
2022,33,4440420.0
2022,34,4440420.0
2022,35,8880840.0
2022,36,8880840.0
2022,37,8880840.0
2022,38,8880840.0
2022,39,8880840.0
2022,40,8880840.0
2022,41,8880840.0
2022,42,8880840.0
2022,43,8880840.0
2022,44,8880840.0
2022,45,4440420.0
2022,46,4440420.0
2022,47,4440420.0
2022,48,4440420.0
2022,49,4440420.0
2022,50,4440420.0
2022,51,4440420.0
2022,52,4440420.0
