sim_id,makespan,total_penalty,late_harvests,error
0,40.0,6.749998740648944,7.0,
1,39.0,6.749997930273438,13.0,
2,,,,Unable to retrieve attribute 'X'
3,,,,Unable to retrieve attribute 'X'
4,40.0,6.749996367082172,6.0,
5,,,,Unable to retrieve attribute 'X'
6,40.0,5.249999310111298,7.0,
7,,,,Unable to retrieve attribute 'X'
8,40.0,7.499999306463714,8.0,
9,,,,Unable to retrieve attribute 'X'
10,40.0,6.749999481325547,9.0,
11,,,,Unable to retrieve attribute 'X'
12,,,,Unable to retrieve attribute 'X'
13,,,,Unable to retrieve attribute 'X'
14,40.0,11.249997907318436,8.0,
15,39.0,3.749999027077928,15.0,
16,39.0,5.999997367288665,12.0,
17,40.0,10.499998623943657,8.0,
18,40.0,8.24999790731844,7.0,
19,40.0,10.499999652264837,8.0,
20,39.0,5.99999724813282,14.0,
21,,,,Unable to retrieve attribute 'X'
22,40.0,8.249998966469313,8.0,
23,,,,Unable to retrieve attribute 'X'
24,39.0,5.2499865770594765,12.0,
25,,,,Unable to retrieve attribute 'X'
26,40.0,7.499998574988579,8.0,
27,40.0,7.4999914878008545,9.0,
28,,,,Unable to retrieve attribute 'X'
29,40.0,5.249999243536614,8.0,
30,,,,Unable to retrieve attribute 'X'
31,40.0,5.249995120504908,7.0,
32,40.0,8.999999200360946,9.0,
33,40.0,11.249998966170708,8.0,
34,40.0,7.499998961216128,7.0,
35,,,,Unable to retrieve attribute 'X'
36,39.0,5.249998210941984,13.0,
37,40.0,6.749993719572597,8.0,
38,40.0,6.7499958146368755,7.0,
39,,,,Unable to retrieve attribute 'X'
40,40.0,8.999998270006696,7.0,
41,40.0,7.499993911294519,8.0,
42,40.0,5.999997907318429,8.0,
43,,,,Unable to retrieve attribute 'X'
44,,,,Unable to retrieve attribute 'X'
45,40.0,8.249998279929576,7.0,
46,,,,Unable to retrieve attribute 'X'
47,40.0,9.749997710160908,8.0,
48,,,,Unable to retrieve attribute 'X'
49,39.0,5.249998962748235,12.0,
50,40.0,8.999997591901405,8.0,
51,40.0,11.24999669224854,9.0,
52,40.0,7.4999958122541575,9.0,
53,40.0,6.749998964236666,8.0,
54,40.0,10.499999309491109,9.0,
55,,,,Unable to retrieve attribute 'X'
56,40.0,3.75,7.0,
57,40.0,8.999998509272302,8.0,
58,,,,Unable to retrieve attribute 'X'
59,,,,Unable to retrieve attribute 'X'
60,40.0,7.499999652264836,8.0,
61,40.0,6.74999862154478,8.0,
62,39.0,2.999997559681806,13.0,
63,40.0,5.9999967380779955,11.0,
64,39.0,7.4999972169075555,13.0,
65,,,,Unable to retrieve attribute 'X'
66,39.0,5.249992288016541,13.0,
67,40.0,8.99999581225416,9.0,
68,39.0,5.249995330569547,14.0,
69,40.0,5.99999738159079,7.0,
70,,,,Unable to retrieve attribute 'X'
71,39.0,7.499994268443817,13.0,
72,39.0,4.4999850798121575,12.0,
73,40.0,10.49999931197183,9.0,
74,,,,Unable to retrieve attribute 'X'
75,,,,Unable to retrieve attribute 'X'
76,40.0,9.749999652264835,8.0,
77,,,,Unable to retrieve attribute 'X'
78,40.0,10.499993712424443,9.0,
79,,,,Unable to retrieve attribute 'X'
80,40.0,3.7499918779283004,8.0,
81,40.0,8.999998607713323,9.0,
82,,,,Unable to retrieve attribute 'X'
83,,,,Unable to retrieve attribute 'X'
84,40.0,7.49999204613618,7.0,
85,,,,Unable to retrieve attribute 'X'
86,40.0,6.749998960515587,8.0,
87,40.0,8.25,7.0,
88,,,,Unable to retrieve attribute 'X'
89,40.0,8.999995557640975,8.0,
90,39.0,2.999998752326548,13.0,
91,40.0,7.499994053233662,9.0,
92,40.0,8.99999371957259,9.0,
93,40.0,5.2499972168095494,7.0,
94,,,,Unable to retrieve attribute 'X'
95,40.0,8.249997904935716,8.0,
96,40.0,8.249995519084525,7.0,
97,,,,Unable to retrieve attribute 'X'
98,40.0,6.749995428391356,9.0,
99,,,,Unable to retrieve attribute 'X'
100,,,,Unable to retrieve attribute 'X'
101,40.0,6.749997907318434,7.0,
102,40.0,8.99998764797925,8.0,
103,40.0,10.499999308250748,8.0,
104,40.0,6.749998271970224,7.0,
105,40.0,6.749995809871441,7.0,
106,,,,Unable to retrieve attribute 'X'
107,40.0,6.7499858938947455,8.0,
108,40.0,5.999997170334826,8.0,
109,,,,Unable to retrieve attribute 'X'
110,40.0,7.4999937219553106,8.0,
111,,,,Unable to retrieve attribute 'X'
112,,,,Unable to retrieve attribute 'X'
113,40.0,6.7499975784238835,7.0,
114,,,,Unable to retrieve attribute 'X'
115,40.0,6.74999111528178,7.0,
116,40.0,7.499998617493791,9.0,
117,,,,Unable to retrieve attribute 'X'
