field_id,plant_week,harvest_week,early_penalty,late_penalty,frost_penalty,total_penalty,status,makespan,sim,error
F001,19.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F002,17.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F003,18.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F004,16.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F005,16.0,32.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F006,16.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F007,16.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F008,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F009,16.0,32.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F010,18.0,35.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F011,20.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F012,20.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F013,18.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F014,18.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F015,15.0,31.0,1.0,0.0,0.0,1.0,EARLY,42.0,0,
F016,19.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F017,16.0,33.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F018,15.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F019,19.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F020,16.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F021,17.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F022,19.0,34.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F023,18.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F024,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F025,19.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,0,
F001,16.0,40.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F002,16.0,40.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F003,16.0,39.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F004,18.0,37.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F005,17.0,33.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F006,16.0,32.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F007,20.0,39.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F008,16.0,32.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F009,19.0,33.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F010,19.0,35.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F011,17.0,38.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F012,19.0,37.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F013,18.0,40.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F014,18.0,38.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F015,18.0,39.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F016,15.0,36.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F017,21.0,34.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F018,20.0,38.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F019,19.0,36.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F020,18.0,39.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F021,19.0,37.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F022,19.0,35.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F023,20.0,36.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F024,16.0,37.0,0.0,0.0,0.0,0.0,OK,40.0,1,
F025,15.0,36.0,0.0,0.0,0.0,0.0,OK,40.0,1,
