sim_id,makespan,total_penalty,late_harvests,status,error
0,,,,ERROR,Unable to retrieve attribute 'X'
1,40.0,20.24999907555481,10.0,OK,
2,,,,ERROR,Unable to retrieve attribute 'X'
3,,,,ERROR,Unable to retrieve attribute 'X'
4,40.0,18.749998152348997,11.0,OK,
5,,,,ERROR,Unable to retrieve attribute 'X'
6,41.0,27.74999861890941,8.0,OK,
7,,,,ERROR,Unable to retrieve attribute 'X'
8,40.0,23.999994683860486,10.0,OK,
9,41.0,26.24999766977082,7.0,OK,
10,,,,ERROR,Unable to retrieve attribute 'X'
11,,,,ERROR,Unable to retrieve attribute 'X'
12,,,,ERROR,Unable to retrieve attribute 'X'
13,,,,ERROR,Unable to retrieve attribute 'X'
14,41.0,24.74999907927294,4.0,OK,
15,41.0,23.24999769818235,4.0,OK,
16,41.0,22.499997695455722,6.0,OK,
17,40.0,24.74999819190164,10.0,OK,
18,,,,ERROR,Unable to retrieve attribute 'X'
19,,,,ERROR,Unable to retrieve attribute 'X'
20,41.0,24.74999907927294,7.0,OK,
21,41.0,29.24999953963647,8.0,OK,
22,41.0,21.74999953963647,5.0,OK,
23,,,,ERROR,Unable to retrieve attribute 'X'
24,41.0,28.49999907555481,7.0,OK,
25,,,,ERROR,Unable to retrieve attribute 'X'
26,,,,ERROR,Unable to retrieve attribute 'X'
27,,,,ERROR,Unable to retrieve attribute 'X'
28,,,,ERROR,Unable to retrieve attribute 'X'
29,40.0,19.49999815482775,10.0,OK,
30,41.0,25.49999907555481,6.0,OK,
31,,,,ERROR,Unable to retrieve attribute 'X'
32,41.0,23.24999861890941,4.0,OK,
33,41.0,20.24999861519128,8.0,OK,
34,40.0,25.499997230188253,12.0,OK,
35,40.0,23.24999953591834,11.0,OK,
36,41.0,27.74999907927294,6.0,OK,
37,41.0,24.749997698182348,6.0,OK,
38,,,,ERROR,Unable to retrieve attribute 'X'
39,40.0,18.74999907555481,9.0,OK,
40,41.0,23.24999815854588,6.0,OK,
41,41.0,30.749998158545882,10.0,OK,
42,41.0,26.999996186505992,5.0,OK,
43,41.0,23.249997503028244,6.0,OK,
44,41.0,30.0,7.0,OK,
45,42.0,30.74999861890941,5.0,OK,
46,,,,ERROR,Unable to retrieve attribute 'X'
47,41.0,26.99999723781882,7.0,OK,
48,,,,ERROR,Unable to retrieve attribute 'X'
49,40.0,22.49999861519128,11.0,OK,
50,,,,ERROR,Unable to retrieve attribute 'X'
51,,,,ERROR,Unable to retrieve attribute 'X'
52,41.0,27.74999731842759,6.0,OK,
53,,,,ERROR,Unable to retrieve attribute 'X'
54,,,,ERROR,Unable to retrieve attribute 'X'
55,,,,ERROR,Unable to retrieve attribute 'X'
56,41.0,27.74999815854588,7.0,OK,
57,41.0,32.99999936638935,9.0,OK,
58,,,,ERROR,Unable to retrieve attribute 'X'
59,,,,ERROR,Unable to retrieve attribute 'X'
60,41.0,25.49999753351298,6.0,OK,
61,,,,ERROR,Unable to retrieve attribute 'X'
62,,,,ERROR,Unable to retrieve attribute 'X'
63,40.0,19.499998158545882,11.0,OK,
64,,,,ERROR,Unable to retrieve attribute 'X'
65,,,,ERROR,Unable to retrieve attribute 'X'
66,41.0,22.49999861890941,6.0,OK,
67,,,,ERROR,Unable to retrieve attribute 'X'
68,41.0,18.749999473004024,5.0,OK,
69,41.0,23.24999885909732,6.0,OK,
70,41.0,26.99999815851263,6.0,OK,
71,,,,ERROR,Unable to retrieve attribute 'X'
72,40.0,17.249998154827754,9.0,OK,
73,,,,ERROR,Unable to retrieve attribute 'X'
74,,,,ERROR,Unable to retrieve attribute 'X'
75,,,,ERROR,Unable to retrieve attribute 'X'
76,,,,ERROR,Unable to retrieve attribute 'X'
77,42.0,34.49999912399398,6.0,OK,
78,40.0,20.99999493576842,10.0,OK,
79,41.0,26.24999907927294,6.0,OK,
80,40.0,23.249993572507748,9.0,OK,
81,,,,ERROR,Unable to retrieve attribute 'X'
82,40.0,24.74999861890941,11.0,OK,
83,,,,ERROR,Unable to retrieve attribute 'X'
84,,,,ERROR,Unable to retrieve attribute 'X'
85,,,,ERROR,Unable to retrieve attribute 'X'
86,41.0,23.24998735379655,5.0,OK,
87,41.0,14.99999953963647,5.0,OK,
88,41.0,28.499998147391494,7.0,OK,
89,,,,ERROR,Unable to retrieve attribute 'X'
90,,,,ERROR,Unable to retrieve attribute 'X'
91,41.0,22.499999488602533,7.0,OK,
92,41.0,22.49999368806649,6.0,OK,
93,,,,ERROR,Unable to retrieve attribute 'X'
94,41.0,26.999997572449402,6.0,OK,
95,,,,ERROR,Unable to retrieve attribute 'X'
96,41.0,26.24999723781882,7.0,OK,
97,40.0,21.74999907927294,12.0,OK,
98,,,,ERROR,Unable to retrieve attribute 'X'
99,,,,ERROR,Unable to retrieve attribute 'X'
100,42.0,30.74999331242817,5.0,OK,
101,40.0,23.99999861890941,11.0,OK,
102,,,,ERROR,Unable to retrieve attribute 'X'
103,,,,ERROR,Unable to retrieve attribute 'X'
104,41.0,22.499997698182348,5.0,OK,
105,41.0,22.49999861890941,5.0,OK,
106,,,,ERROR,Unable to retrieve attribute 'X'
107,41.0,24.749997209183697,5.0,OK,
108,,,,ERROR,Unable to retrieve attribute 'X'
109,40.0,15.749998618909412,10.0,OK,
110,,,,ERROR,Unable to retrieve attribute 'X'
111,,,,ERROR,Unable to retrieve attribute 'X'
112,,,,ERROR,Unable to retrieve attribute 'X'
113,40.0,18.749999075731864,11.0,OK,
114,,,,ERROR,Unable to retrieve attribute 'X'
115,41.0,32.24999888971397,9.0,OK,
116,40.0,20.999983264849586,13.0,OK,
117,,,,ERROR,Unable to retrieve attribute 'X'
118,41.0,24.7499993094549,5.0,OK,
119,,,,ERROR,Unable to retrieve attribute 'X'
120,,,,ERROR,Unable to retrieve attribute 'X'
121,40.0,17.999997397672526,9.0,OK,
122,41.0,29.24999710675049,7.0,OK,
123,40.0,16.49999723410069,10.0,OK,
124,,,,ERROR,Unable to retrieve attribute 'X'
125,,,,ERROR,Unable to retrieve attribute 'X'
126,,,,ERROR,Unable to retrieve attribute 'X'
127,40.0,17.999998662027664,11.0,OK,
128,40.0,18.7499976957036,9.0,OK,
129,,,,ERROR,Unable to retrieve attribute 'X'
130,40.0,17.99999907927294,11.0,OK,
131,41.0,24.74999723781882,5.0,OK,
132,41.0,24.749993607210854,7.0,OK,
133,,,,ERROR,Unable to retrieve attribute 'X'
134,,,,ERROR,Unable to retrieve attribute 'X'
135,,,,ERROR,Unable to retrieve attribute 'X'
136,41.0,24.749998258098614,7.0,OK,
137,,,,ERROR,Unable to retrieve attribute 'X'
138,,,,ERROR,Unable to retrieve attribute 'X'
139,,,,ERROR,Unable to retrieve attribute 'X'
140,40.0,12.74999815482775,11.0,OK,
141,41.0,26.24999911984321,7.0,OK,
142,40.0,22.49999861519128,12.0,OK,
143,,,,ERROR,Unable to retrieve attribute 'X'
144,41.0,27.749995856728233,6.0,OK,
145,,,,ERROR,Unable to retrieve attribute 'X'
146,,,,ERROR,Unable to retrieve attribute 'X'
147,,,,ERROR,Unable to retrieve attribute 'X'
148,41.0,29.99999723410069,7.0,OK,
149,,,,ERROR,Unable to retrieve attribute 'X'
150,,,,ERROR,Unable to retrieve attribute 'X'
151,,,,ERROR,Unable to retrieve attribute 'X'
152,40.0,23.25,11.0,OK,
153,,,,ERROR,Unable to retrieve attribute 'X'
154,41.0,24.74999907555481,5.0,OK,
155,40.0,20.99999723038256,11.0,OK,
156,40.0,17.99999743814337,12.0,OK,
157,41.0,24.749998350382505,6.0,OK,
158,,,,ERROR,Unable to retrieve attribute 'X'
159,,,,ERROR,Unable to retrieve attribute 'X'
160,41.0,27.74999652822217,6.0,OK,
161,41.0,25.49999815482775,5.0,OK,
162,40.0,17.99999861890941,10.0,OK,
163,40.0,26.999997680041957,11.0,OK,
164,,,,ERROR,Unable to retrieve attribute 'X'
165,40.0,17.999998615191277,11.0,OK,
166,40.0,23.24999861519128,11.0,OK,
167,,,,ERROR,Unable to retrieve attribute 'X'
168,41.0,19.499997329220864,4.0,OK,
169,40.0,20.99999867132002,12.0,OK,
170,42.0,28.49999723410069,3.0,OK,
171,41.0,25.49999861890941,6.0,OK,
172,40.0,16.49999422076871,11.0,OK,
173,40.999999295847594,21.74999953963647,5.0,OK,
174,,,,ERROR,Unable to retrieve attribute 'X'
175,41.0,30.74999815854588,6.0,OK,
176,40.0,17.999994728063108,9.0,OK,
177,41.0,29.99994560285497,7.0,OK,
178,40.0,24.749998660505252,10.0,OK,
179,,,,ERROR,Unable to retrieve attribute 'X'
180,41.0,23.24999907927294,6.0,OK,
181,,,,ERROR,Unable to retrieve attribute 'X'
182,,,,ERROR,Unable to retrieve attribute 'X'
183,,,,ERROR,Unable to retrieve attribute 'X'
184,40.0,21.74999861519128,12.0,OK,
185,40.0,23.24999861890941,12.0,OK,
186,,,,ERROR,Unable to retrieve attribute 'X'
187,,,,ERROR,Unable to retrieve attribute 'X'
188,41.0,32.99999679169745,7.0,OK,
189,,,,ERROR,Unable to retrieve attribute 'X'
190,42.0,33.7499986189094,3.0,OK,
191,,,,ERROR,Unable to retrieve attribute 'X'
192,,,,ERROR,Unable to retrieve attribute 'X'
193,40.0,21.749997691365778,12.0,OK,
194,41.0,23.249997698182348,5.0,OK,
195,,,,ERROR,Unable to retrieve attribute 'X'
196,41.0,23.99999826288145,5.0,OK,
197,,,,ERROR,Unable to retrieve attribute 'X'
198,,,,ERROR,Unable to retrieve attribute 'X'
199,40.0,19.499999006077104,12.0,OK,
200,40.0,18.749998158546187,10.0,OK,
201,,,,ERROR,Unable to retrieve attribute 'X'
202,,,,ERROR,Unable to retrieve attribute 'X'
203,,,,ERROR,Unable to retrieve attribute 'X'
204,41.0,21.74999861890941,7.0,OK,
205,42.0,29.24999869964459,4.0,OK,
206,,,,ERROR,Unable to retrieve attribute 'X'
207,41.0,23.25,5.0,OK,
208,,,,ERROR,Unable to retrieve attribute 'X'
209,,,,ERROR,Unable to retrieve attribute 'X'
210,,,,ERROR,Unable to retrieve attribute 'X'
211,41.0,27.749998716065328,6.0,OK,
212,,,,ERROR,Unable to retrieve attribute 'X'
213,40.0,20.999998662398568,9.0,OK,
214,,,,ERROR,Unable to retrieve attribute 'X'
215,,,,ERROR,Unable to retrieve attribute 'X'
216,,,,ERROR,Unable to retrieve attribute 'X'
217,40.0,26.24999815482775,11.0,OK,
218,,,,ERROR,Unable to retrieve attribute 'X'
219,41.0,24.749999441469342,6.0,OK,
220,41.0,26.999994945260347,6.0,OK,
221,,,,ERROR,Unable to retrieve attribute 'X'
222,,,,ERROR,Unable to retrieve attribute 'X'
223,40.0,20.99999769818235,9.0,OK,
224,41.0,26.99999769446422,6.0,OK,
225,41.0,18.0,5.0,OK,
226,40.0,20.99999815482775,10.0,OK,
227,,,,ERROR,Unable to retrieve attribute 'X'
228,,,,ERROR,Unable to retrieve attribute 'X'
229,40.0,19.499998321642373,9.0,OK,
230,41.0,20.249999076794186,5.0,OK,
231,41.0,29.24999953591834,6.0,OK,
232,40.0,20.999997928642884,12.0,OK,
233,42.0,29.99999907927294,4.0,OK,
234,41.0,27.749999092025657,6.0,OK,
235,41.0,20.99999960357893,6.0,OK,
236,40.0,20.24999815854588,12.0,OK,
237,40.0,14.249993333469657,9.0,OK,
238,40.0,22.499994728063108,11.0,OK,
239,,,,ERROR,Unable to retrieve attribute 'X'
240,,,,ERROR,Unable to retrieve attribute 'X'
241,,,,ERROR,Unable to retrieve attribute 'X'
242,41.0,25.49999769818235,6.0,OK,
243,,,,ERROR,Unable to retrieve attribute 'X'
244,41.0,23.99999303964968,6.0,OK,
245,41.0,21.749999879023086,4.0,OK,
246,40.0,23.999999505410038,10.0,OK,
247,40.0,17.999994423460418,10.0,OK,
248,41.0,24.749995978644797,7.0,OK,
249,,,,ERROR,Unable to retrieve attribute 'X'
250,41.0,15.749999075554811,5.0,OK,
251,,,,ERROR,Unable to retrieve attribute 'X'
252,41.0,25.499997340071424,8.0,OK,
253,,,,ERROR,Unable to retrieve attribute 'X'
254,,,,ERROR,Unable to retrieve attribute 'X'
255,,,,ERROR,Unable to retrieve attribute 'X'
256,,,,ERROR,Unable to retrieve attribute 'X'
257,,,,ERROR,Unable to retrieve attribute 'X'
258,,,,ERROR,Unable to retrieve attribute 'X'
259,40.0,22.499995396364703,11.0,OK,
260,40.0,23.99999907927294,11.0,OK,
261,41.0,30.74999861890941,7.0,OK,
262,40.0,20.999998600635166,10.0,OK,
263,,,,ERROR,Unable to retrieve attribute 'X'
264,,,,ERROR,Unable to retrieve attribute 'X'
265,,,,ERROR,Unable to retrieve attribute 'X'
266,41.0,23.24999907927294,6.0,OK,
267,,,,ERROR,Unable to retrieve attribute 'X'
268,41.0,23.24999769260516,5.0,OK,
269,41.0,24.74999953963647,6.0,OK,
270,,,,ERROR,Unable to retrieve attribute 'X'
271,,,,ERROR,Unable to retrieve attribute 'X'
272,,,,ERROR,Unable to retrieve attribute 'X'
273,40.0,20.99999861519128,9.0,OK,
274,,,,ERROR,Unable to retrieve attribute 'X'
275,40.0,22.499999205492337,12.0,OK,
276,,,,ERROR,Unable to retrieve attribute 'X'
277,,,,ERROR,Unable to retrieve attribute 'X'
278,40.0,22.49999396411672,11.0,OK,
279,41.0,28.499997698182348,5.0,OK,
280,,,,ERROR,Unable to retrieve attribute 'X'
281,,,,ERROR,Unable to retrieve attribute 'X'
282,40.0,14.99999399842569,11.0,OK,
283,41.0,20.999996491468053,5.0,OK,
284,41.0,20.24999856929093,5.0,OK,
285,41.0,21.749996420385184,6.0,OK,
286,,,,ERROR,Unable to retrieve attribute 'X'
287,,,,ERROR,Unable to retrieve attribute 'X'
288,41.0,27.74999711802026,7.0,OK,
289,,,,ERROR,Unable to retrieve attribute 'X'
290,40.0,18.74999953591834,11.0,OK,
291,,,,ERROR,Unable to retrieve attribute 'X'
292,,,,ERROR,Unable to retrieve attribute 'X'
293,41.0,23.99999815854588,5.0,OK,
294,,,,ERROR,Unable to retrieve attribute 'X'
295,,,,ERROR,Unable to retrieve attribute 'X'
296,40.0,23.249999073076054,13.0,OK,
297,40.0,20.24999823412437,10.0,OK,
298,,,,ERROR,Unable to retrieve attribute 'X'
299,41.0,26.99999907927294,8.0,OK,
300,40.0,23.249996313993318,11.0,OK,
301,,,,ERROR,Unable to retrieve attribute 'X'
302,,,,ERROR,Unable to retrieve attribute 'X'
303,41.0,21.749997710316663,5.0,OK,
304,,,,ERROR,Unable to retrieve attribute 'X'
305,41.0,29.24999907927294,7.0,OK,
306,40.0,20.24999907927294,10.0,OK,
307,40.0,16.499997237818818,12.0,OK,
308,41.0,20.24998704521196,7.0,OK,
309,,,,ERROR,Unable to retrieve attribute 'X'
310,,,,ERROR,Unable to retrieve attribute 'X'
311,40.0,16.499998616430634,10.0,OK,
312,41.0,26.999998121048076,6.0,OK,
313,40.0,19.499998668368782,11.0,OK,
314,,,,ERROR,Unable to retrieve attribute 'X'
315,41.0,23.99999907927294,7.0,OK,
316,40.0,16.49999769818235,11.0,OK,
317,,,,ERROR,Unable to retrieve attribute 'X'
318,41.0,32.99999907927294,7.0,OK,
319,,,,ERROR,Unable to retrieve attribute 'X'
320,40.0,17.24999907927294,10.0,OK,
321,,,,ERROR,Unable to retrieve attribute 'X'
322,,,,ERROR,Unable to retrieve attribute 'X'
323,,,,ERROR,Unable to retrieve attribute 'X'
324,41.0,27.749998618909412,7.0,OK,
325,40.0,23.24999808169775,12.0,OK,
326,,,,ERROR,Unable to retrieve attribute 'X'
327,40.0,25.49999907555481,13.0,OK,
328,,,,ERROR,Unable to retrieve attribute 'X'
329,40.0,19.49999861890941,11.0,OK,
330,41.0,28.49999354685267,6.0,OK,
331,,,,ERROR,Unable to retrieve attribute 'X'
332,,,,ERROR,Unable to retrieve attribute 'X'
333,40.0,22.499977626047627,11.0,OK,
334,40.0,17.249998152348994,13.0,OK,
335,,,,ERROR,Unable to retrieve attribute 'X'
336,,,,ERROR,Unable to retrieve attribute 'X'
337,41.0,22.499998491894942,6.0,OK,
338,,,,ERROR,Unable to retrieve attribute 'X'
339,41.0,27.74999815854588,7.0,OK,
340,,,,ERROR,Unable to retrieve attribute 'X'
341,,,,ERROR,Unable to retrieve attribute 'X'
342,40.0,23.24999768293585,10.0,OK,
343,41.0,28.499997698182348,6.0,OK,
344,,,,ERROR,Unable to retrieve attribute 'X'
345,,,,ERROR,Unable to retrieve attribute 'X'
346,,,,ERROR,Unable to retrieve attribute 'X'
347,41.0,33.74999815854588,10.0,OK,
348,41.0,29.24999907177294,7.0,OK,
349,,,,ERROR,Unable to retrieve attribute 'X'
350,41.0,31.49999723781882,9.0,OK,
351,,,,ERROR,Unable to retrieve attribute 'X'
352,,,,ERROR,Unable to retrieve attribute 'X'
353,,,,ERROR,Unable to retrieve attribute 'X'
354,42.0,34.499998568561,5.0,OK,
355,,,,ERROR,Unable to retrieve attribute 'X'
356,,,,ERROR,Unable to retrieve attribute 'X'
357,,,,ERROR,Unable to retrieve attribute 'X'
358,41.0,25.49999907927294,8.0,OK,
359,,,,ERROR,Unable to retrieve attribute 'X'
360,,,,ERROR,Unable to retrieve attribute 'X'
361,,,,ERROR,Unable to retrieve attribute 'X'
362,41.0,20.249999015488072,5.0,OK,
363,,,,ERROR,Unable to retrieve attribute 'X'
364,41.0,26.999999141429022,7.0,OK,
365,,,,ERROR,Unable to retrieve attribute 'X'
366,,,,ERROR,Unable to retrieve attribute 'X'
367,40.0,23.999999470886998,13.0,OK,
368,40.0,20.99999861890941,10.0,OK,
369,,,,ERROR,Unable to retrieve attribute 'X'
370,40.0,24.74999861890941,14.0,OK,
371,,,,ERROR,Unable to retrieve attribute 'X'
372,,,,ERROR,Unable to retrieve attribute 'X'
373,,,,ERROR,Unable to retrieve attribute 'X'
374,,,,ERROR,Unable to retrieve attribute 'X'
375,,,,ERROR,Unable to retrieve attribute 'X'
376,,,,ERROR,Unable to retrieve attribute 'X'
377,,,,ERROR,Unable to retrieve attribute 'X'
378,,,,ERROR,Unable to retrieve attribute 'X'
379,,,,ERROR,Unable to retrieve attribute 'X'
380,,,,ERROR,Unable to retrieve attribute 'X'
381,41.0,31.499993546985955,7.0,OK,
382,41.0,20.99999861890941,6.0,OK,
383,41.0,26.999998893509833,7.0,OK,
384,,,,ERROR,Unable to retrieve attribute 'X'
385,,,,ERROR,Unable to retrieve attribute 'X'
386,,,,ERROR,Unable to retrieve attribute 'X'
387,,,,ERROR,Unable to retrieve attribute 'X'
388,,,,ERROR,Unable to retrieve attribute 'X'
389,42.0,41.24999855512891,6.0,OK,
390,41.0,26.99999907927294,7.0,OK,
391,,,,ERROR,Unable to retrieve attribute 'X'
392,40.0,24.749996777455287,10.0,OK,
393,41.0,23.24999907927294,5.0,OK,
394,40.0,21.74999907927294,11.0,OK,
395,40.0,21.749999536780003,11.0,OK,
396,,,,ERROR,Unable to retrieve attribute 'X'
397,41.0,22.49999861890941,7.0,OK,
398,,,,ERROR,Unable to retrieve attribute 'X'
399,41.0,26.24999769446422,5.0,OK,
400,41.0,23.249997851105768,7.0,OK,
