Year,week,week_ending,pct_harvested
2005,36,2005-09-11,6
2005,37,2005-09-18,13
2005,38,2005-09-25,30
2005,39,2005-10-02,42
2005,40,2005-10-09,58
2005,41,2005-10-16,77
2005,42,2005-10-23,89
2005,43,2005-10-30,94
2005,44,2005-11-06,96
2005,45,2005-11-13,99
2006,36,2006-09-10,2
2006,37,2006-09-17,6
2006,38,2006-09-24,14
2006,39,2006-10-01,28
2006,40,2006-10-08,44
2006,41,2006-10-15,63
2006,42,2006-10-22,73
2006,43,2006-10-29,83
2006,44,2006-11-05,92
2006,45,2006-11-12,95
2006,46,2006-11-19,97
2006,47,2006-11-26,99
2007,36,2007-09-09,12
2007,37,2007-09-16,25
2007,38,2007-09-23,46
2007,39,2007-09-30,60
2007,40,2007-10-07,76
2007,41,2007-10-14,81
2007,42,2007-10-21,92
2007,43,2007-10-28,95
2007,44,2007-11-04,98
2007,45,2007-11-11,99
2007,46,2007-11-18,100
2008,38,2008-09-21,1
2008,39,2008-09-28,4
2008,40,2008-10-05,10
2008,41,2008-10-12,20
2008,42,2008-10-19,32
2008,43,2008-10-26,46
2008,44,2008-11-02,66
2008,45,2008-11-09,80
2008,46,2008-11-16,88
2008,47,2008-11-23,95
2009,39,2009-09-27,2
2009,40,2009-10-04,5
2009,41,2009-10-11,6
2009,42,2009-10-18,11
2009,43,2009-10-25,14
2009,44,2009-11-01,19
2009,45,2009-11-08,31
2009,46,2009-11-15,52
2009,47,2009-11-22,60
2009,48,2009-11-29,72
2009,49,2009-12-06,85
2009,50,2009-12-13,90
2009,51,2009-12-20,95
2010,35,2010-09-05,7
2010,36,2010-09-12,18
2010,37,2010-09-19,38
2010,38,2010-09-26,57
2010,39,2010-10-03,74
2010,40,2010-10-10,87
2010,41,2010-10-17,93
2010,42,2010-10-24,97
2010,43,2010-10-31,98
2010,44,2010-11-07,99
2011,37,2011-09-18,11
2011,38,2011-09-25,22
2011,39,2011-10-02,32
2011,40,2011-10-09,49
2011,41,2011-10-16,64
2011,42,2011-10-23,79
2011,43,2011-10-30,89
2011,44,2011-11-06,94
2011,45,2011-11-13,97
2011,46,2011-11-20,99
2012,33,2012-08-19,3
2012,34,2012-08-26,6
2012,35,2012-09-02,12
2012,36,2012-09-09,21
2012,37,2012-09-16,36
2012,38,2012-09-23,54
2012,39,2012-09-30,71
2012,40,2012-10-07,80
2012,41,2012-10-14,87
2012,42,2012-10-21,92
2012,43,2012-10-28,94
2012,44,2012-11-04,98
2013,37,2013-09-15,1
2013,38,2013-09-22,5
2013,39,2013-09-29,13
2013,42,2013-10-20,51
2013,43,2013-10-27,74
2013,44,2013-11-03,83
2013,45,2013-11-10,93
2014,35,2014-08-31,0
2014,36,2014-09-07,1
2014,37,2014-09-14,2
2014,38,2014-09-21,6
2014,39,2014-09-28,14
2014,40,2014-10-05,23
2014,41,2014-10-12,35
2014,42,2014-10-19,43
2014,43,2014-10-26,59
2014,44,2014-11-02,77
2014,45,2014-11-09,87
2014,46,2014-11-16,94
2014,47,2014-11-23,97
2015,34,2015-08-23,0
2015,35,2015-08-30,1
2015,36,2015-09-06,2
2015,37,2015-09-13,6
2015,38,2015-09-20,13
2015,39,2015-09-27,30
2015,40,2015-10-04,50
2015,41,2015-10-11,71
2015,42,2015-10-18,85
2015,43,2015-10-25,93
2015,44,2015-11-01,96
2015,45,2015-11-08,100
2015,46,2015-11-15,100
2016,34,2016-08-28,0
2016,35,2016-09-04,1
2016,36,2016-09-11,3
2016,37,2016-09-18,9
2016,38,2016-09-25,24
2016,39,2016-10-02,43
2016,40,2016-10-09,62
2016,41,2016-10-16,73
2016,42,2016-10-23,83
2016,43,2016-10-30,91
2016,44,2016-11-06,94
2016,45,2016-11-13,97
2016,46,2016-11-20,100
2017,35,2017-09-03,0
2017,36,2017-09-10,2
2017,37,2017-09-17,5
2017,38,2017-09-24,11
2017,39,2017-10-01,21
2017,40,2017-10-08,38
2017,41,2017-10-15,47
2017,42,2017-10-22,62
2017,43,2017-10-29,73
2017,44,2017-11-05,83
2017,45,2017-11-12,90
2017,46,2017-11-19,95
2017,47,2017-11-26,98
2018,35,2018-09-02,1
2018,36,2018-09-09,4
2018,37,2018-09-16,12
2018,38,2018-09-23,28
2018,39,2018-09-30,48
2018,40,2018-10-07,63
2018,41,2018-10-14,71
2018,42,2018-10-21,82
2018,43,2018-10-28,89
2018,44,2018-11-04,93
2018,45,2018-11-11,96
2018,46,2018-11-18,100
2018,47,2018-11-25,100
2019,35,2019-09-01,0
2019,36,2019-09-08,0
2019,37,2019-09-15,1
2019,38,2019-09-22,2
2019,39,2019-09-29,4
2019,40,2019-10-06,13
2019,41,2019-10-13,23
2019,42,2019-10-20,36
2019,43,2019-10-27,54
2019,44,2019-11-03,58
2019,45,2019-11-10,71
2019,46,2019-11-17,80
2019,47,2019-11-24,88
2019,48,2019-12-01,93
2019,49,2019-12-08,96
2020,36,2020-09-06,0
2020,37,2020-09-13,2
2020,38,2020-09-20,4
2020,39,2020-09-27,13
2020,40,2020-10-04,26
2020,41,2020-10-11,45
2020,42,2020-10-18,66
2020,43,2020-10-25,80
2020,44,2020-11-01,89
2020,45,2020-11-08,95
