station,date,AWND,PRCP,TAVG,TMAX,TMIN,year,week
GHCND:USW00094846,2017-01-01,4.9,0.0,27.0,40.0,17.0,2017,52
GHCND:USW00094846,2017-01-02,6.3,0.11,34.0,40.0,25.0,2017,1
GHCND:USW00094846,2017-01-03,10.1,0.0,38.0,39.0,19.0,2017,1
GHCND:USW00094846,2017-01-04,17.0,0.0,18.0,19.0,7.0,2017,1
GHCND:USW00094846,2017-01-05,12.8,0.0,9.0,13.0,3.0,2017,1
GHCND:USW00094846,2017-01-06,10.1,0.0,4.0,9.0,0.0,2017,1
GHCND:USW00094846,2017-01-07,10.7,0.0,6.0,18.0,0.0,2017,1
GHCND:USW00094846,2017-01-08,9.6,0.0,9.0,19.0,2.0,2017,1
GHCND:USW00094846,2017-01-09,13.0,0.02,22.0,33.0,19.0,2017,2
GHCND:USW00094846,2017-01-10,23.3,0.2,38.0,51.0,25.0,2017,2
GHCND:USW00094846,2017-01-11,12.1,0.33,32.0,43.0,25.0,2017,2
GHCND:USW00094846,2017-01-12,11.2,0.05,26.0,28.0,19.0,2017,2
GHCND:USW00094846,2017-01-13,8.9,0.0,20.0,27.0,16.0,2017,2
GHCND:USW00094846,2017-01-14,4.7,0.0,29.0,35.0,21.0,2017,2
GHCND:USW00094846,2017-01-15,2.2,0.0,26.0,36.0,20.0,2017,2
GHCND:USW00094846,2017-01-16,5.8,0.9,33.0,37.0,30.0,2017,3
GHCND:USW00094846,2017-01-17,9.6,0.48,37.0,39.0,35.0,2017,3
GHCND:USW00094846,2017-01-18,9.6,0.0,35.0,36.0,30.0,2017,3
GHCND:USW00094846,2017-01-19,6.7,0.46,36.0,42.0,30.0,2017,3
GHCND:USW00094846,2017-01-20,5.8,0.18,39.0,43.0,38.0,2017,3
GHCND:USW00094846,2017-01-21,8.5,0.0,48.0,59.0,40.0,2017,3
GHCND:USW00094846,2017-01-22,5.4,0.01,43.0,46.0,38.0,2017,3
GHCND:USW00094846,2017-01-23,9.4,0.0,39.0,42.0,36.0,2017,4
GHCND:USW00094846,2017-01-24,7.2,0.0,37.0,38.0,34.0,2017,4
