field_id,plant_week,harvest_week,plant_week_continuous,harvest_week_continuous,status,objective_makespan
F001,16,37,16.0,37.0,2,38.0
F002,16,37,16.0,37.0,2,38.0
F003,19,36,19.0,36.0,2,38.0
F004,16,37,16.0,37.0,2,38.0
F005,16,36,16.0,36.0,2,38.0
F006,17,37,17.0,37.0,2,38.0
F007,19,37,19.0,37.0,2,38.0
F008,20,36,20.0,36.0,2,38.0
F009,15,36,15.0,36.0,2,38.0
F010,19,38,19.0,38.0,2,38.0
F011,17,37,17.0,37.0,2,38.0
F012,15,36,15.0,36.0,2,38.0
F013,15,36,15.0,36.0,2,38.0
F014,17,37,17.0,37.0,2,38.0
F015,21,37,21.0,37.0,2,38.0
F016,19,36,19.0,36.0,2,38.0
F017,21,37,21.0,37.0,2,38.0
F018,18,37,18.0,37.0,2,38.0
F019,15,36,15.0,36.0,2,38.0
F020,19,36,19.0,36.0,2,38.0
F021,16,36,16.0,36.0,2,38.0
F022,15,36,15.0,36.0,2,38.0
F023,19,38,19.0,38.0,2,38.0
F024,21,38,21.0,38.0,2,38.0
F025,20,38,20.0,38.0,2,38.0
