field_id,plant_week,harvest_week,plant_week_continuous,harvest_week_continuous,early_penalty,late_penalty,status,objective_makespan
F001,19,37,19.0,37.0,0.0,0.0,2,38.0
F002,20,36,20.0,36.0,0.0,0.0,2,38.0
F003,19,37,19.0,37.0,0.0,0.0,2,38.0
F004,20,37,20.0,37.0,0.0,0.0,2,38.0
F005,19,38,19.0,38.0,0.0,0.0,2,38.0
F006,19,38,19.0,38.0,0.0,0.0,2,38.0
F007,20,36,20.0,36.0,0.0,0.0,2,38.0
F008,19,36,19.0,36.0,0.0,0.0,2,38.0
F009,19,36,19.0,36.0,0.0,0.0,2,38.0
F010,19,36,19.0,36.0,0.0,0.0,2,38.0
F011,18,37,18.0,37.0,0.0,0.0,2,38.0
F012,19,37,19.0,37.0,0.0,0.0,2,38.0
F013,17,36,17.0,36.0,0.0,0.0,2,38.0
F014,20,38,20.0,38.0,0.0,0.0,2,38.0
F015,18,37,18.0,37.0,0.0,0.0,2,38.0
F016,20,36,20.0,36.0,0.0,0.0,2,38.0
F017,18,37,18.0,37.0,0.0,0.0,2,38.0
F018,20,37,20.0,37.0,0.0,0.0,2,38.0
F019,19,37,19.0,37.0,0.0,0.0,2,38.0
F020,19,36,19.0,36.0,0.0,0.0,2,38.0
F021,21,38,21.0,38.0,0.0,0.0,2,38.0
F022,19,38,19.0,38.0,0.0,0.0,2,38.0
F023,17,36,17.0,36.0,0.0,0.0,2,38.0
F024,19,36,19.0,36.0,0.0,0.0,2,38.0
F025,19,36,19.0,36.0,0.0,0.0,2,38.0
