field_id,plant_week,harvest_week,plant_week_continuous,harvest_week_continuous,penalty,status,objective_makespan
F001,19,38,19.0,38.0,0.0,2,39.0
F002,16,34,16.0,34.0,0.0,2,39.0
F003,19,37,19.0,37.0,0.0,2,39.0
F004,17,36,17.0,36.0,0.0,2,39.0
F005,16,33,16.0,33.0,0.0,2,39.0
F006,18,37,18.0,37.0,0.0,2,39.0
F007,18,37,18.0,37.0,0.0,2,39.0
F008,21,39,21.0,39.0,0.0,2,39.0
F009,20,38,20.0,38.0,0.0,2,39.0
F010,15,31,15.0,31.0,0.0,2,39.0
F011,20,39,20.0,39.0,0.0,2,39.0
F012,18,37,18.0,37.0,0.0,2,39.0
F013,17,36,17.0,36.0,0.0,2,39.0
F014,16,36,16.0,36.0,0.7499988566644779,2,39.0
F015,19,38,19.0,38.0,0.0,2,39.0
F016,21,39,21.0,39.0,0.0,2,39.0
F017,17,36,17.0,36.0,0.0,2,39.0
F018,16,32,16.0,32.0,0.0,2,39.0
F019,19,38,19.0,38.0,0.0,2,39.0
F020,18,37,18.0,37.0,0.0,2,39.0
F021,20,39,20.0,39.0,0.0,2,39.0
F022,20,39,20.0,39.0,0.0,2,39.0
F023,16,35,16.0,35.0,0.0,2,39.0
F024,18,36,18.0,36.0,0.0,2,39.0
F025,20,37,20.0,37.0,0.0,2,39.0
