field_id,plant_week,harvest_week,plant_week_cont,harvest_week_cont,early_penalty,late_penalty,status,makespan
F001,18,39,18.0,39.0,0.0,0.0,OK,39.99999241279562
F002,19,40,19.0,40.0,0.0,0.0,OK,39.99999241279562
F003,16,36,16.0,36.0,0.0,0.0,OK,39.99999241279562
F004,16,36,16.0,36.0,0.0,0.0,OK,39.99999241279562
F005,16,39,16.0,39.0,0.0,0.0,OK,39.99999241279562
F006,20,33,20.0,33.0,0.0,0.0,OK,39.99999241279562
F007,15,39,15.0,39.0,0.0,0.0,OK,39.99999241279562
F008,19,37,19.0,37.0,0.0,0.0,OK,39.99999241279562
F009,20,36,20.0,36.0,0.0,0.0,OK,39.99999241279562
F010,20,40,20.0,40.0,0.0,0.0,OK,39.99999241279562
F011,21,38,21.0,38.0,0.0,0.0,OK,39.99999241279562
F012,16,37,16.0,37.0,0.0,0.0,OK,39.99999241279562
F013,17,37,17.0,37.0,0.0,0.0,OK,39.99999241279562
F014,18,36,18.0,36.0,0.0,0.0,OK,39.99999241279562
F015,18,35,18.0,35.0,0.0,0.0,OK,39.99999241279562
F016,19,38,19.0,38.0,0.0,0.0,OK,39.99999241279562
F017,18,39,18.0,39.0,0.0,0.0,OK,39.99999241279562
F018,16,40,16.0,40.0,0.0,0.0,OK,39.99999241279562
F019,15,39,15.0,39.0,0.0,0.0,OK,39.99999241279562
F020,20,37,20.0,37.0,0.0,0.0,OK,39.99999241279562
F021,18,37,18.0,37.0,0.0,0.0,OK,39.99999241279562
F022,16,34,16.0,34.0,0.0,0.0,OK,39.99999241279562
F023,16,32,16.0,32.0,0.0,0.0,OK,39.99999241279562
F024,21,33,21.0,33.0,0.0,0.0,OK,39.99999241279562
F025,19,38,19.0,38.0,0.0,0.0,OK,39.99999241279562
