field_id,plant_week,harvest_week,early_penalty,late_penalty,frost_penalty,total_penalty,status,makespan
F001,16,39,0.0,0.0,0.0,0.0,OK,42.0
F002,21,38,0.0,0.0,0.0,0.0,OK,42.0
F003,19,40,0.0,0.0,0.0,0.0,OK,42.0
F004,18,42,0.0,0.0,0.0,0.0,OK,42.0
F005,16,38,0.0,0.0,0.0,0.0,OK,42.0
F006,16,33,0.0,0.0,0.0,0.0,OK,42.0
F007,16,35,0.0,0.0,0.0,0.0,OK,42.0
F008,16,36,0.0,0.0,0.0,0.0,OK,42.0
F009,15,39,0.0,0.0,0.0,0.0,OK,42.0
F010,18,33,0.0,0.0,0.0,0.0,OK,42.0
F011,16,42,0.0,0.0,0.0,0.0,OK,42.0
F012,19,32,0.0,0.0,0.0,0.0,OK,42.0
F013,17,37,0.0,0.0,0.0,0.0,OK,42.0
F014,19,38,0.0,0.0,0.0,0.0,OK,42.0
F015,19,39,0.0,0.0,0.0,0.0,OK,42.0
F016,18,36,0.0,0.0,0.0,0.0,OK,42.0
F017,16,39,0.0,0.0,0.0,0.0,OK,42.0
F018,16,36,0.0,0.0,0.0,0.0,OK,42.0
F019,18,42,0.0,0.0,0.0,0.0,OK,42.0
F020,16,34,0.0,0.0,0.0,0.0,OK,42.0
F021,15,36,0.0,0.0,0.0,0.0,OK,42.0
F022,18,37,0.0,0.0,0.0,0.0,OK,42.0
F023,20,37,0.0,0.0,0.0,0.0,OK,42.0
F024,18,37,0.0,0.0,0.0,0.0,OK,42.0
F025,19,36,0.0,0.0,0.0,0.0,OK,42.0
