iter	Passed	Remaining
0	0	182
1	0	126
2	0	128
3	1	127
4	1	128
5	1	127
6	1	127
7	3	199
8	3	194
9	3	188
10	4	184
11	4	181
12	4	177
13	5	174
14	5	171
15	5	167
16	5	165
17	6	163
18	6	160
19	8	193
20	8	192
21	8	189
22	9	189
23	11	222
24	12	228
25	12	225
26	12	222
27	13	220
28	13	217
29	14	233
30	15	230
31	15	227
32	15	225
33	16	222
34	16	220
35	16	217
36	17	215
37	17	213
38	17	210
39	18	208
40	19	216
41	19	217
42	20	215
43	20	213
44	20	211
45	21	208
46	21	206
47	21	203
48	21	201
49	22	200
50	22	197
51	22	196
52	22	193
53	23	191
54	23	190
55	23	188
56	24	187
57	24	186
58	24	185
59	25	184
60	25	183
61	25	182
62	26	180
63	26	180
64	26	179
65	27	178
66	27	178
67	27	177
68	28	176
69	28	175
70	28	174
71	29	173
72	29	172
73	29	172
74	30	171
75	30	169
76	30	168
77	31	167
78	31	167
79	31	166
80	32	165
81	32	165
82	32	164
83	33	163
84	33	162
85	33	162
86	33	161
87	34	160
88	34	160
89	34	159
90	35	158
91	35	158
92	36	157
93	36	157
94	36	156
95	37	156
96	37	155
97	37	154
98	37	153
99	38	153
100	38	152
101	38	152
102	39	151
103	39	151
104	39	150
105	40	149
106	40	149
107	41	148
108	41	148
109	41	147
110	42	147
111	42	146
112	42	146
113	43	145
114	43	145
115	43	144
116	44	144
117	44	143
118	44	143
119	45	142
120	45	142
121	45	141
122	46	141
123	46	141
124	46	140
125	47	140
126	47	139
127	47	139
128	48	138
129	48	138
130	48	137
131	49	137
132	49	136
133	49	136
134	50	135
135	50	135
136	50	134
137	51	134
138	51	133
139	51	133
140	52	132
141	52	132
142	52	131
143	53	131
144	53	130
145	53	130
146	54	130
147	54	129
148	54	129
149	55	128
150	55	128
151	55	127
152	56	127
153	56	126
154	56	126
155	57	125
156	57	125
157	57	124
158	58	124
159	58	124
160	58	123
161	59	123
162	59	122
163	59	122
164	60	121
165	60	121
166	60	121
167	60	120
168	61	120
169	61	119
170	61	119
171	62	118
172	62	118
173	62	117
174	63	117
175	63	116
176	63	116
177	64	116
178	64	115
179	64	115
180	65	115
181	65	114
182	65	114
183	66	113
184	66	113
185	67	113
186	67	112
187	67	112
188	68	112
189	68	111
190	68	111
191	69	110
192	69	110
193	69	110
194	70	109
195	70	109
196	70	108
197	71	108
198	71	107
199	71	107
200	72	107
201	72	106
202	72	106
203	73	106
204	73	105
205	73	105
206	74	105
207	74	104
208	74	104
209	75	103
210	75	103
211	75	103
212	76	102
213	76	102
214	77	102
215	77	101
216	77	101
217	78	100
218	78	100
219	78	100
220	79	99
221	79	99
222	79	99
223	80	98
224	80	98
225	81	98
226	81	97
227	81	97
228	82	97
229	82	96
230	82	96
231	83	96
232	83	95
233	84	95
234	84	95
235	84	94
236	85	94
237	85	94
238	86	94
239	86	93
240	86	93
241	87	93
242	87	92
243	87	92
244	88	91
245	88	91
246	88	90
247	89	90
248	89	90
249	89	89
250	90	89
251	90	89
